budget,imdb_id,original_language,title,revenue,status
0,tt0000001,en,Carmencita,0,Released
0,tt0000003,fr,Poor Pierrot,0,Released
0,tt0000005,xx,Blacksmith Scene,0,Released
0,tt0000008,en,Edison Kinetoscopic Record of a Sneeze,0,Released
0,tt0000010,fr,Workers Leaving the Lumière Factory,0,Released
0,tt0000012,es,The Arrival of a Train at La Ciotat,0,Released
0,tt0000014,fr,Tables Turned on the Gardener,0,Released
0,tt0000023,fr,Baignade en Mer,0,Released
0,tt0000029,fr,Baby's Meal,0,Released
0,tt0000070,fr,Demolition of a Wall,0,Released
0,tt0000075,fr,The Vanishing Lady,0,Released
0,tt0000091,xx,The Haunted Castle,0,Released
0,tt0000131,fr,A Terrible Night,0,Released
0,tt0000132,fr,Playing Cards,0,Released
0,tt0000138,fr,The Bewitched Inn,0,Released
0,tt0000192,en,"Ella Lola, a la Trilby",0,Released
0,tt0000211,fr,The Astronomer's Dream,0,Released
0,tt0000230,fr,Cinderella,0,Released
0,tt0000242,fr,The Devil in a Convent,0,Released
0,tt0000246,fr,An Up-to-Date Conjurer,0,Released
0,tt0000304,en,Grandma's Reading Glass,0,Released
0,tt0000313,en,Let Me Dream Again,0,Released
0,tt0000359,fr,The Man with the Rubber Head,0,Released
0,tt0000364,en,Panorama of Esplanade by Night,0,Released
0,tt0000399,en,Jack and the Beanstalk,0,Released
5985,tt0000417,fr,A Trip to the Moon,0,Released
0,tt0000420,en,Alice in Wonderland,0,Released
0,tt0000437,fr,Faust et Méphistophélès,0,Released
150,tt0000439,en,The Great Train Robbery,0,Released
0,tt0000447,en,Life of an American Fireman,0,Released
0,tt0000455,fr,The Melomaniac,0,Released
0,tt0000465,fr,The Kingdom of Fairies,0,Released
0,tt0000469,en,The Sick Kitten,0,Released
0,tt0000488,en,The Land Beyond the Sunset,0,Released
37,tt0000498,en,Rescued by Rover,0,Released
7500,tt0000499,fr,The Impossible Voyage,0,Released
0,tt0000516,en,The Electric Hotel,0,Released
0,tt0000524,en,New York Subway,0,Released
0,tt0000534,xx,The '?' Motorist,0,Released
0,tt0000546,en,Dream of a Rarebit Fiend,0,Released
0,tt0000554,en,Humorous Phases of Funny Faces,0,Released
0,tt0000567,fr,The Merry Frolics of Satan,0,Released
0,tt0000574,en,The Story of the Kelly Gang,0,Released
0,tt0000614,fr,The Red Spectre,0,Released
0,tt0000682,fr,Fantasmagorie,0,Released
0,tt0000832,en,A Corner in Wheat,0,Rumored
0,tt0000833,en,The Country Doctor,0,Released
0,tt0000942,en,The Lonely Villa,0,Released
0,tt0001032,en,The Sealed Room,0,Released
0,tt0001062,en,Those Awful Hats,0,Released
0,tt0001105,da,The Abyss,0,Released
0,tt0001223,en,Frankenstein,0,Released
0,tt0001265,en,In the Border States,0,Released
0,tt0001431,en,The Unchanging Sea,0,Released
0,tt0001463,en,The Wonderful Wizard of Oz,0,Released
0,tt0001527,ru,The Cameraman's Revenge,0,Released
0,tt0001660,en,Her Crowning Glory,0,Released
0,tt0001737,en,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",0,Released
0,tt0001740,en,The Lonedale Operator,0,Released
0,tt0001789,en,The Miser's Heart,0,Released
0,tt0002054,en,A Beast at Bay,0,Released
0,tt0002082,en,The Burglar’s Dilemma,0,Released
0,tt0002101,en,Cleopatra,0,Released
0,tt0002113,fr,The Conquest of the Pole,0,Released
0,tt0002130,it,L'inferno,0,Released
0,tt0002357,en,The Mender of Nets,0,Released
0,tt0002381,en,The Musketeers of Pig Alley,0,Released
0,tt0002391,en,The New York Hat,0,Released
0,tt0002415,en,The Painted Lady,0,Released
0,tt0002461,en,Richard III,0,Released
0,tt0002544,en,The Gardener,0,Released
0,tt0002795,en,Death's Marathon,0,Released
0,tt0002844,fr,Fantômas: In the Shadow of the Guillotine,0,Released
0,tt0002985,en,The House of Darkness,0,Released
0,tt0003014,sv,Ingeborg Holm,0,Released
0,tt0003016,en,The Inside of the White Slave Traffic,0,Released
0,tt0003037,fr,Fantômas: Juve Against Fantômas,0,Released
0,tt0003165,fr,Fantômas: The Dead Man Who Killed,0,Released
0,tt0003419,de,The Student of Prague,0,Released
0,tt0003471,en,Traffic in Souls,0,Released
0,tt0003489,it,The Last Days of Pompeii,0,Released
0,tt0003643,en,The Avenging Conscience: or 'Thou Shalt Not Kill',0,Released
0,tt0003662,en,The Battle at Elderbush Gulch,0,Released
210,tt0003740,it,Cabiria,0,Released
0,tt0003772,en,Cinderella,0,Released
0,tt0003930,fr,Fantômas: Fantômas Against Fantômas,0,Released
0,tt0003952,fr,Fantômas: The False Magistrate,0,Released
0,tt0004008,en,Gertie the Dinosaur,0,Released
0,tt0004066,da,The Mysterious X,0,Released
0,tt0004100,en,His Musical Career,0,Released
0,tt0004101,en,His New Profession,0,Released
0,tt0004134,en,Hypocrites,0,Released
0,tt0004150,en,In the Land of the Head Hunters,0,Released
0,tt0004181,en,Judith of Bethulia,0,Released
0,tt0004194,en,The Knockout,0,Released
0,tt0004210,en,Laughing Gas,0,Released
0,tt0004277,en,Mabel at the Wheel,0,Released
0,tt0004282,en,Mabel's Married Life,0,Released
0,tt0004288,en,Making a Living,0,Released
0,tt0004413,en,The Ocean Waif,0,Released
0,tt0004465,en,The Perils of Pauline,0,Released
0,tt0004635,en,The Squaw Man,0,Released
0,tt0004707,en,Tillie's Punctured Romance,0,Released
0,tt0004712,hu,The Undesirable,0,Released
0,tt0004873,en,Alice in Wonderland,0,Released
0,tt0004936,en,The Bank,0,Released
100000,tt0004972,en,The Birth of a Nation,11000000,Released
0,tt0005044,en,By the Sea,0,Released
0,tt0005059,en,The Captive,0,Released
23430,tt0005060,en,Carmen,0,Released
0,tt0005074,en,The Champion,0,Released
17311,tt0005078,en,The Cheat,137365,Released
0,tt0005084,en,Children of Eve,0,Released
0,tt0005149,en,The Coward,0,Released
5000,tt0005198,en,The Dinosaur and the Missing Link: A Prehistoric Tragedy,0,Released
0,tt0005339,en,A Fool There Was,0,Released
0,tt0005529,da,Blind Justice,0,Released
0,tt0005542,en,In the Park,0,Released
0,tt0005557,en,The Italian,0,Released
0,tt0005571,en,A Jitney Elopement,0,Released
0,tt0005622,ru,The Lily of Belgium,0,Released
0,tt0005810,en,A Night Out,0,Released
0,tt0005812,en,A Night in the Show,0,Released
0,tt0005916,ru,After Death,0,Released
0,tt0005960,en,Regeneration,0,Released
0,tt0006032,en,Shanghaied,0,Released
0,tt0006145,en,That Little Band Of Gold,0,Released
0,tt0006177,en,The Tramp,0,Released
0,tt0006206,fr,Les vampires,0,Released
200000,tt0006333,en,"20,000 Leagues Under the Sea",8000000,Released
0,tt0006414,en,Behind the Screen,0,Released
0,tt0006517,en,Civilization,0,Released
0,tt0006548,en,The Count,0,Released
0,tt0006589,en,The Devil's Needle,0,Released
0,tt0006668,en,Fatty and Mabel Adrift,0,Released
0,tt0006684,en,The Fireman,0,Released
0,tt0006689,en,The Floorwalker,0,Released
0,tt0006731,en,Going Straight,0,Released
0,tt0006745,en,Gretchen the Greenhorn,0,Released
0,tt0006753,en,The Half-Breed,0,Released
0,tt0006761,sv,The Sea Vultures,0,Released
0,tt0006780,en,Hell's Hinges,0,Released
0,tt0006809,en,His Picture in the Papers,0,Released
0,tt0006826,en,Hoodoo Ann,0,Released
8394751,tt0006864,en,Intolerance: Love's Struggle Throughout the Ages,0,Released
0,tt0006886,en,Judex,0,Released
0,tt0006895,en,King Lear,0,Released
0,tt0007047,en,The Matrimaniac,0,Released
0,tt0007108,en,The Mystery of the Leaping Fish,0,Released
0,tt0007145,en,One A.M.,0,Released
