"person_id","name","ocupation","number_of_movies","total_box_office"
nm0000002,Lauren Bacall,actress,4,42787736
nm0000008,Marlon Brando,actor,2,247797936
nm0000012,Bette Davis,actress,1,1338198.0
nm0000018,Kirk Douglas,actor,1,21458228
nm0000019,Federico Fellini,director,1,837623.0
nm0000024,John Gielgud,actor,2,15641232
nm0000040,Stanley Kubrick,director,1,46357676
nm0000041,Akira Kurosawa,director,1,3607393.0
nm0000044,Burt Lancaster,actor,1,21458228
nm0000047,Sophia Loren,actress,1,71518504
nm0000052,Marcello Mastroianni,actor,2,3039051.0
nm0000053,Robert Mitchum,actor,1,1221366.0
nm0000056,Paul Newman,actor,5,544215168
nm0000056,Paul Newman,director,1,895904.0
nm0000059,Laurence Olivier,actor,1,69342.0
nm0000060,Gregory Peck,actor,1,3574256.0
nm0000080,Orson Welles,actor,1,5849647.0
nm0000084,Gong Li,actress,5,525477440
nm0000090,Armin Mueller-Stahl,actor,2,60256200
nm0000092,John Cleese,actor,4,173250064
nm0000093,Brad Pitt,actor,15,4020304128
nm0000093,Brad Pitt,producer,3,155878208
nm0000095,Woody Allen,actor,7,166820848
nm0000095,Woody Allen,director,14,560785024
nm0000096,Gillian Anderson,actress,2,117981576
nm0000098,Jennifer Aniston,actress,15,1913160960
nm0000099,Patricia Arquette,actress,4,198281888
nm0000100,Rowan Atkinson,actor,5,730317056
nm0000101,Dan Aykroyd,actor,8,436328064
nm0000102,Kevin Bacon,actor,10,716321472
nm0000103,Fairuza Balk,actress,2,12269913
nm0000104,Antonio Banderas,actor,22,3171475200
nm0000104,Antonio Banderas,director,1,2005840.0
nm0000106,Drew Barrymore,actress,8,568623872
nm0000107,Kim Basinger,actress,10,753345600
nm0000108,Luc Besson,director,4,401185440
nm0000110,Kenneth Branagh,actor,6,737902272
nm0000110,Kenneth Branagh,director,2,498245568
nm0000111,Matthew Broderick,actor,11,593597760
nm0000112,Pierce Brosnan,actor,9,1053640896
nm0000113,Sandra Bullock,actress,12,2710137344
nm0000114,Steve Buscemi,actor,7,846151296
nm0000115,Nicolas Cage,actor,20,2651027200
nm0000115,Nicolas Cage,producer,2,50110816
nm0000116,James Cameron,director,4,2905101568
nm0000117,Neve Campbell,actress,4,428484800
nm0000118,John Carpenter,director,4,52302252
nm0000119,Tia Carrere,actress,2,290158816
nm0000120,Jim Carrey,actor,15,3083544576
nm0000121,Phoebe Cates,actress,3,19204372
nm0000123,George Clooney,actor,12,1662644992
nm0000123,George Clooney,producer,2,306514432
nm0000124,Jennifer Connelly,actress,13,2794622976
nm0000125,Sean Connery,actor,10,652784128
nm0000126,Kevin Costner,actor,17,1003220288
nm0000127,Wes Craven,director,7,279757888
nm0000128,Russell Crowe,actor,12,1999697024
nm0000129,Tom Cruise,actor,21,6560596480
