"tconst","title","release_year","release_date","budget","worldwide_box_office","domestic_box_office","foreign_box_office","imdb_raiting","numvotes","genre"
tt0090557,'Round Midnight,1986,1986-09-23,"0",3272593.0,3272593.0,,7.40,5327,Drama
tt0118523,'Til There Was You,1997,1997-05-30,"1000000",3525125.0,3525125.0,,4.80,2894,Comedy
tt0090556,"'night, Mother",1986,1986-09-12,"0",441863.0,441863.0,,7.60,2360,Drama
tt0349047,(T)Raumschiff Surprise - Periode 1,2004,,,76341400,,76341400,5.40,15761,Comedy
tt0092494,*batteries not included,1987,1987-12-18,"0",32945796,32945796,,6.60,35697,Comedy
tt0081964,...All the Marbles,1981,1981-10-16,"0",6468195.0,6468195.0,,6.40,2164,Comedy
tt0078721,"10",1979,1979-10-04,"0",74865520,74865520,,6.10,18095,Comedy
tt1179933,"10 Cloverfield Lane",2016,2016-03-10,"15000000",110217000,72083000,38134000,7.20,324450,Drama
tt0147800,"10 Things I Hate About You",1999,1999-03-30,"16000000",53478168,38178168,15300000,7.30,338604,Comedy
tt0085121,"10 to Midnight",1983,1983-03-11,"4520000",7175592.0,7175592.0,,6.30,8301,Crime
tt0443649,"10,000 BC",2008,2008-02-22,"105000000",269784192,94784200,175000000,5.10,131406,Action
tt0115433,"101 Dalmatians",1996,1996-11-17,"54000000",136189296,136189296,,5.70,111300,Adventure
tt1674766,"101 Proposals",2013,,,31283838,,31283838,5.40,477,Romance
tt0211181,"102 Dalmatians",2000,2000-10-07,"85000000",183611776,66957024,116654744,4.80,37628,Adventure
tt0114746,"12 Monkeys",1995,1995-12-29,"29500000",87020992,57141460,29879536,8.00,614846,Mystery
tt1413492,"12 Strong",2018,,,67450816,45819712,21631102,6.50,81572,Action
tt2024544,"12 Years a Slave",2013,2013-10-18,"20000000",187733200,56671992,131061208,8.10,695345,Biography
tt1542344,"127 Hours",2010,2010-11-05,"18000000",60738796,18335230,42403568,7.60,375364,Biography
tt1436045,"13 Assassins",2010,2010-09-09,"6000000",18689058,802778.0,17886280,7.50,65702,Action
tt0337563,"13 Going on 30",2004,2004-04-13,"37000000",96455696,57231748,39223952,6.20,191067,Comedy
,"13 Hours",2015,,,69411368,52853220,16558151,,,
tt0450385,"1408",2007,2007-07-12,"25000000",132963416,71985632,60977788,6.80,272848,Fantasy
tt0103594,"1492: Conquest of Paradise",1992,1992-10-09,"47000000",7191399.0,7191399.0,,6.40,30589,Adventure
tt0179626,"15 Minutes",2001,2001-03-01,"60000000",56359980,24403552,31956428,6.10,50559,Action
tt0450232,"16 Blocks",2006,2006-03-01,"55000000",65664720,36895140,28769580,6.60,131029,Action
,"16 Days of Glory",1986,,,83857.0,83857.0,,,,
tt0974661,"17 Again",2009,2009-03-11,"20000000",136316880,64167068,72149808,6.40,200341,Comedy
tt0094593,"18 Again!",1988,1988-04-08,"0",2567099.0,2567099.0,,5.70,4685,Comedy
,"18 Years Later",2003,,,8785730.0,25611.0,8760119.0,,,
tt8579674,"1917",2019,,,384577408,159227648,225349776,8.20,572541,Action
tt0078723,"1941",1979,1979-12-13,"35000000",31755742,31755742,,5.80,33897,Action
tt0094594,"1969",1988,1988-08-18,"0",5979011.0,5979011.0,,5.70,3815,Drama
tt0087803,"1984",1984,1984-10-10,"0",8430492.0,8430492.0,,7.10,72470,Drama
tt6493286,"1987: When the Day Comes",2017,,,53834292,,53834292,7.80,5188,Drama
tt0115438,"2 Days in the Valley",1996,1996-09-11,"0",11132210,11132210,,6.50,20440,Comedy
tt0322259,"2 Fast 2 Furious",2003,2003-06-05,"76000000",236350656,127154904,109195760,5.90,273359,Action
tt1272878,"2 Guns",2013,2013-08-02,"61000000",131940408,75612464,56327952,6.70,211468,Action
tt5080556,"2.0",2018,,,36945968,4152000.0,32793968,6.10,24595,Action
tt0137338,"200 Cigarettes",1999,1999-02-26,"6000000",6852450.0,6852450.0,,5.90,15579,Comedy
tt0940642,"200 Pounds Beauty",2006,2006-12-14,"4000000",42013016,,42013016,6.70,8120,Comedy
tt0294252,"2009: Lost Memories",2002,2002-02-01,"0",12049825,,12049825,6.10,3359,Action
