within_year_rank,title,release_year,worldwide_box_office,domestic_box_office,foreign_box_office
1,Star Wars: Episode IV - A New Hope,1977,307263857,307263857,
2,Smokey and the Bandit,1977,126737428,126737428,
3,Close Encounters of the Third Kind,1977,116395460,116395460,
4,Saturday Night Fever,1977,94213184,94213184,
5,A Bridge Too Far,1977,50750000,50750000,
6,The Deep,1977,47346365,47346365,
7,The Spy Who Loved Me,1977,46838673,46838673,
8,"Oh, God!",1977,41687243,41687243,
9,Annie Hall,1977,38251425,38251425,
10,Semi-Tough,1977,37187139,37187139,
11,Pete's Dragon,1977,35488000,35488000,
12,Heroes,1977,33500000,33500000,
13,High Anxiety,1977,31063038,31063038,
14,Exorcist II: The Heretic,1977,30749142,30749142,
15,The Rescuers,1977,29000000,29000000,
16,Slap Shot,1977,28000000,28000000,
17,Herbie Goes to Monte Carlo,1977,28000000,28000000,
18,The Gauntlet,1977,26414658,26414658,
19,The Turning Point,1977,25933445,25933445,
20,Freaky Friday,1977,25642000,25642000,
21,The Other Side of Midnight,1977,24652021,24652021,
22,Looking for Mr. Goodbar,1977,22512655,22512655,
23,Julia,1977,20714400,20714400,
24,The Bad News Bears in Breaking Training,1977,19104350,19104350,
25,For the Love of Benji,1977,17732000,17732000,
26,"New York, New York",1977,16400000,16400000,
27,Black Sunday,1977,15769322,15769322,
28,Orca,1977,14717854,14717854,
29,Bobby Deerfield,1977,9300000,9300000,
30,Islands in the Stream,1977,5596173,5596173,
31,"Race for Your Life, Charlie Brown",1977,3223888,3223888,
32,March or Die,1977,1000000,1000000,
33,Joseph Andrews,1977,839865,839865,
34,Citizens Band,1977,815530,815530,
35,Fraternity Row,1977,290674,290674,
1,Grease,1978,159978870,159978870,
2,Superman,1978,134218018,134218018,
3,National Lampoon's Animal House,1978,120091123,120091123,
4,Every Which Way but Loose,1978,85196485,85196485,
5,Heaven Can Wait,1978,81640278,81640278,
6,Hooper,1978,78000000,78000000,
7,Jaws 2,1978,77737272,77737272,
8,Revenge of the Pink Panther,1978,49579269,49579269,
9,The Deer Hunter,1978,48991826,48979328,12498
10,Halloween,1978,47000000,47000000,
11,Foul Play,1978,44999621,44999621,
12,The End,1978,44917151,44917151,
13,Up in Smoke,1978,44364244,44364244,
14,Midnight Express,1978,35000000,35000000,
15,Coming Home,1978,32653905,32653905,
16,The Lord of the Rings,1978,30471420,30471420,
17,House Calls,1978,28460702,28460702,
18,Damien: Omen II,1978,26518355,26518355,
19,Invasion of the Body Snatchers,1978,24946533,24946533,
20,Convoy,1978,22765081,22765081,
21,The Wiz,1978,21049053,21049053,
22,F.I.S.T.,1978,20388920,20388920,
23,Sgt. Pepper's Lonely Hearts Club Band,1978,20378470,20378470,
24,Eyes of Laura Mars,1978,20000000,20000000,
25,The One and Only,1978,16928137,16928137,
26,Return from Witch Mountain,1978,16393000,16393000,
27,Corvette Summer,1978,15514367,15514367,
28,The Greek Tycoon,1978,14672713,14672713,
29,Death on the Nile,1978,14560084,14560084,
30,The Buddy Holly Story,1978,14363400,14363400,
31,The Big Fix,1978,13062708,13062708,
32,The Other Side of the Mountain: Part II,1978,11565678,11565678,
33,Moment by Moment,1978,10963824,10963824,
34,Interiors,1978,10432366,10432366,
35,Straight Time,1978,9900000,9900000,
36,Comes a Horseman,1978,9585769,9585769,
37,American Hot Wax,1978,7932571,7932571,
38,The Brink's Job,1978,7909950,7909950,
39,Goin' South,1978,7435671,7435671,
40,King of the Gypsies,1978,7325177,7325177,
41,Force 10 from Navarone,1978,7230000,7230000,
42,Paradise Alley,1978,7185518,7185518,
43,The Bad News Bears Go to Japan,1978,7092495,7092495,
44,International Velvet,1978,7009238,7009238,
45,Blue Collar,1978,6521083,6521083,
46,Pretty Baby,1978,5786368,5786368,
47,Gray Lady Down,1978,5438927,5438927,
48,Brass Target,1978,5011158,5011158,
49,Caravans,1978,3930501,3930501,
50,Days of Heaven,1978,3446749,3446749,
51,Our Winning Season,1978,1997705,1997705,
52,I Wanna Hold Your Hand,1978,1944682,1944682,
53,Skateboard,1978,1318823,1318823,
54,Uncle Joe Shannon,1978,494797,494797,
55,Nunzio,1978,52195,52195,
1,Kramer vs. Kramer,1979,106260000,106260000,
2,The Amityville Horror,1979,86432000,86432000,
3,Rocky II,1979,85182160,85182160,
4,Star Trek: The Motion Picture,1979,82258456,82258456,
5,Alien,1979,78944891,78944891,
6,Apocalypse Now,1979,78784010,78784010,
7,10,1979,74865517,74865517,
8,The Jerk,1979,73691419,73691419,
9,Moonraker,1979,70308099,70308099,
10,The Muppet Movie,1979,65200000,65200000,
11,The Electric Horseman,1979,61801971,61801971,
12,The China Syndrome,1979,51718367,51718367,
13,Meatballs,1979,43046003,43046003,
14,Escape from Alcatraz,1979,43000000,43000000,
15,The Main Event,1979,42800000,42800000,
16,Manhattan,1979,39946780,39946780,
17,All That Jazz,1979,37823676,37823676,
18,The Black Stallion,1979,37799643,37799643,
19,The Black Hole,1979,35841901,35841901,
20,Starting Over,1979,35649012,35649012,
21,And Justice for All,1979,33300000,33300000,
22,1941,1979,31755742,31755742,
23,The Champ,1979,30441738,30441738,
24,Being There,1979,30177511,30177511,
25,The Rose,1979,29174648,29174648,
26,Going in Style,1979,26869286,26869286,
27,North Dallas Forty,1979,26079312,26079312,
28,The Warriors,1979,22490039,22490039,
29,Norma Rae,1979,22228000,22228000,
30,Buck Rogers in the 25th Century,1979,21671241,21671241,
31,National Lampoon's Animal House 1979 Re-release,1979,21508877,21508877,
32,The Apple Dumpling Gang Rides Again,1979,20931111,20931111,
33,La Cage aux Folles,1979,20424259,20424259,
34,Dracula,1979,20158970,20158970,
